HudongItem1,relation,HudongItem2
布丰,native language,法语
汤姆生,occupation,物理学家
布丰,languages spoken written or signed,法语
IU,blood type,A
汤姆生,occupation,数学家
汤姆生,field of work,物理学
汤姆生,employer,剑桥大学
IU,location of formation,大韩民国
布丰,occupation,数学家
布丰,occupation,哲学家
kg,shares border with,中华人民共和国
布丰,field of work,生物学
kg,shares border with,哈萨克斯坦
口腔溃疡,instance of,疾病
分子植物,instance of,科学期刊
氢键,subclass of,化学键
布丰,field of work,地理学
口腔溃疡,subclass of,口腔炎
同位素,subclass of,核素
液体,subclass of,流体
隆,language of work or name,日语
Michaux,sex or gender,男性
分子植物,instance of,杂志
氢键,subclass of,association
布丰,field of work,地质学
柠檬酸钙,instance of,化合物
朱木拿河,instance of,河流
隆,writing system,拉丁文字
柠檬酸钙,has part,钙
朱木拿河,mouth of the watercourse,恒河
山茶目,taxon rank,目
Michaux,country of citizenship,比利时
ka,instance of,语言
pregnancy,subclass of,pregnancy
Abe,instance of,姓氏
柠檬酸钙,has part,氧
核子,part of,原子核
同位素,different from,核素
布丰,member of,法国科学院
黄皮,taxon rank,种
连县,country,中华人民共和国
三趾鹑科,taxon rank,科
东半球,part of,地球
Abe,language of work or name,日语
素馨花,taxon rank,种
柠檬酸钙,has part,碳
单宁酸,instance of,食品添加剂
角马,instance of,操作系统
松麦河,country,中华人民共和国
保山县,instance of,县
pregnancy,has effect,分娩
三趾鹑科,parent taxon,鸻形目
刀子,country of origin,瑞典
Michaux,place of death,安特卫普
艺术流派,subclass of,艺术
保山县,country,中华人民共和国
单宁酸,use,墨水
三趾鹑科,parent taxon,鹤形目
Abe,different from,Abe
刀子,location of formation,瑞典
朱木拿河,continent,亚洲
Michaux,work location,安特卫普
三趾鹑科,Code of nomenclature,国际动物命名法规
朱木拿河,country,印度
朱木拿河,located in the administrative territorial entity,印度
kg,emergency phone number,103
汤姆生,educated at,剑桥大学
角马,has part,Hurd
收入,facet of,财富
后河,instance of,流水
苏北灌溉总渠,instance of,运河
背景,opposite of,前景
碘,subclass of,卤素
后河,country,中华人民共和国
苏北灌溉总渠,country,中华人民共和国
三趾啄木鸟,taxon rank,种
Wichita,instance of,城市
广运,instance of,年号
雕漆,subclass of,漆器
鼻腔,anatomical location,鼻
Wichita,country,美国
方策,sex or gender,男性
雕漆,country of origin,中华人民共和国
平均海拔,subclass of,海拔
安第斯山,instance of,山
古本,instance of,城市
908,instance of,年
碘,location of discovery,巴黎
虎甲,taxon rank,亚科
Sheng,country of citizenship,中华人民共和国
安第斯山,continent,南极洲
古本,instance of,市镇
胞子,opposite of,配子
papilla,part of,乳房
鼻腔,has part,鼻中隔
外胚层,subclass of,胚层
兵,subclass of,棋子
吡喹酮,instance of,化合物
Pang,instance of,姓氏
虎甲,parent taxon,步甲科
Sheng,occupation,昆虫学家
908,follows,907年
朱槿,taxon rank,种
moth,taxon rank,亚目
古本,country,德国
年份,instance of,时间单位
Sure,instance of,单曲
朱槿,parent taxon,木槿属
AB,official language,英语
W,location of discovery,西班牙
封盖,sport,篮球
云实,taxon rank,种
AB,country,加拿大
磺胺喹恶啉,instance of,化合物
合阳县,instance of,县
CIT,instance of,基因
基地,instance of,图书
合阳县,country,中华人民共和国
称,sex or gender,男性
锦绣苋,taxon rank,种
年份,measured physical quantity,时段
吡喹酮,medical condition treated,囊虫病
AB,located in the administrative territorial entity,加拿大
臣服,instance of,图书
流行性乙型脑炎,instance of,疾病
CIT,found in taxon,智人
年份,measured physical quantity,时间
吡喹酮,medical condition treated,血吸虫病
乡,part of,区
常量,subclass of,量值
时段,instance of,测度
乡,country,法国
维拉,country,法国
臣服,country of origin,法国
年份,has part,月
1757年,instance of,年
Program,instance of,短片
臣服,language of work or name,法语
流行性乙型脑炎,symptoms,fever
年份,different from,年份
eau,language of work or name,法语
臣服,narrative location,巴黎
基地,country of origin,美国
Leo,instance of,星座
test,country,西班牙
Book,instance of,姓氏
1757年,follows,1756年
时段,partially coincident with,时间单位
New,language of work or name,英语
基地,language of work or name,英语
年份,different from,平年
Hibiscus,taxon rank,属
骆驼刺,taxon rank,种
test,located in the administrative territorial entity,罗斯托克
Book,writing system,拉丁文字
1757年,followed by,1758年
早饭,subclass of,餐
宫相,instance of,职位
桡骨,instance of,骨骼
搪瓷,use,陶瓷材料
骆驼刺,parent taxon,骆驼刺属
Book,different from,Book
紫矿,taxon rank,种
宫相,applies to jurisdiction,法兰克王国
石松科,taxon rank,科
高锰酸盐,instance of,化合物
Program,country of origin,美国
流行性乙型脑炎,symptoms,呕吐
糖霜谱,instance of,文学作品
竖直,subclass of,方向
1137年,instance of,年
Program,country of origin,澳大利亚
水雉,taxon rank,种
珊瑚纲,taxon rank,纲
Program,original language of work,英语
马铃薯饼,has part,蛋
1137年,follows,1136年
Program,original language of work,日语
竖直,used by,column
珊瑚纲,this taxon is source of,珊瑚
AB,shares border with,蒙大拿州
竖直,has part,上下
AB,shares border with,西北地区
珊瑚纲,different from,珊瑚
AB,official symbol,刺蔷薇
AB,separated from,西北地区
1801年,instance of,年
ISA,part of,计算机系统结构
光栅,subclass of,结构
八国联军,instance of,组织
湖区,instance of,山脉
ISA,facet of,计算机系统结构
湖区,country,英国
牛筋条,taxon rank,种
雪松烯,instance of,化合物
灵江,instance of,河流
香茅醛,instance of,醛
1801年,follows,1800年
两面针,taxon rank,种
牛筋条,parent taxon,牛筋条属
灵江,instance of,溪
网球花属,taxon rank,属
Musa,taxon rank,属
香茅醛,instance of,化合物
南坎,country,缅甸
1801年,followed by,1802年
两面针,parent taxon,花椒
烃类,subclass of,有机化合物
空想社会主义者,subclass of,社会主义
周村区,instance of,区
丙酸酐,instance of,化合物
灵江,mouth of the watercourse,东海
Musa,parent taxon,芭蕉科
香茅醛,has part,氧
南坎,located in the administrative territorial entity,掸邦
大韩民国,instance of,国家
周村区,country,中华人民共和国
Musa,has fruit type,浆果
香茅醛,has part,碳
1786年,instance of,年
呼吸系统疾病,instance of,疾病
烃类,has part,碳
周村区,located in the administrative territorial entity,淄博市
Cinchona,taxon rank,属
灵江,country,中华人民共和国
Musa,this taxon is source of,香蕉
斯诺,sex or gender,男性
Bole,sex or gender,男性
迪内,country,法国
黄嘌呤氧化酶,instance of,化合物
Cinchona,parent taxon,茜草科
Musa,this taxon is source of,大蕉
Program,color,彩色
南召县,instance of,县
骨髓,instance of,组织
稳定剂,subclass of,化学物质
斯诺,country of citizenship,美国
1786年,follows,1785年
黄嘌呤氧化酶,found in taxon,智人
Cinchona,has fruit type,蒴果
大韩民国,continent,亚洲
南召县,country,中华人民共和国
紫斑风铃草,taxon rank,种
骨髓,subclass of,组织
稳定剂,subclass of,食品添加剂
社会组织,subclass of,组织
斯诺,given name,Edgar
1786年,followed by,1787年
黄嘌呤氧化酶,has part,碳
大韩民国,country,大韩民国
Fronteira,country,葡萄牙
Bole,place of birth,安特卫普
社会组织,said to be the same as,非政府组织
Bole,place of death,巴黎
大韩民国,located in or next to body of water,黄海
斯诺,place of burial,北京大学
下肢,has part,大腿
大韩民国,located in or next to body of water,南海
大韩民国,located in or next to body of water,日本海
下肢,does not have part,脚
大韩民国,located in or next to body of water,东海
斯诺,native language,英语
下肢,does not have part,膝
大韩民国,located on terrain feature,东亚
斯诺,languages spoken written or signed,英语
大韩民国,territory claimed by,朝鲜民主主义人民共和国
大韩民国,deepest point,日本海
斯诺,educated at,密苏里大学
Bole,work location,安特卫普
大韩民国,basic form of government,共和制
Bole,work location,罗马
Bole,work location,安特卫普
Bole,work location,巴黎
Bole,work location,安特卫普
Bole,work location,巴黎
京都,instance of,城市
黄花蒿,taxon rank,种
京都,instance of,位置
黄山松,taxon rank,种
陈俊愉,sex or gender,男性
ABA,instance of,化合物
贺县,instance of,县
105年,instance of,年
黄花蒿,parent taxon,蒿属
陈俊愉,member of,中国工程院
新疆落叶松,taxon rank,种
ABA,has part,氧
贺县,country,中华人民共和国
香菇,taxon rank,种
黄花蒿,has fruit type,胞果
汶川县,instance of,县
新疆落叶松,parent taxon,落叶松属
Cora,writing system,拉丁文字
ABA,has part,碳
角马,has part,less
汶川县,country,中华人民共和国
Hg,instance of,液体
螺旋,subclass of,螺线
蚝油,material used,牡蛎科
马唐属,taxon rank,属
戴德,sex or gender,男性
Cora,family name identical to this given name,Cora
105年,followed by,106年
香菇,hymenium type,菌褶
钼,named after,铅
Flint,instance of,城市
南港,instance of,城市
鱼钩,subclass of,渔具
皮质酮,instance of,化合物
戴德,country of citizenship,中国
Cora,different from,Cora
菲利普,sex or gender,男性
Flint,instance of,县城
南港,country,澳大利亚
皮质酮,found in taxon,智人
戴德,family name,戴
Flint,country,美国
特斯拉,based on,韦伯
Hg,has effect,汞中毒
Mono,programming language,C语言
钼,location of discovery,瑞典
特斯拉,based on,米
皮质酮,has part,碳
香菇,spore print color,白色
Flint,sister city,长春市
大韩民国,diplomatic relation,加拿大
Flint,sister city,哈密尔顿
大韩民国,diplomatic relation,意大利
大韩民国,diplomatic relation,澳大利亚
苯丙氨酸,instance of,化合物
2D,subclass of,空间
绍熙,instance of,年号
大韩民国,diplomatic relation,日本
春秋时期,named after,春秋
朝鲜崖柏,taxon rank,种
李渊,sex or gender,男性
大韩民国,diplomatic relation,中华人民共和国
KDH,instance of,国际机场
589年,instance of,年
苯丙氨酸,subclass of,氨基酸
李渊,family name,李
大韩民国,diplomatic relation,俄罗斯
free,instance of,子程序
勒鲁,country,法国
李渊,place of birth,长安
大韩民国,diplomatic relation,德国
白消安,instance of,化合物
青霉素G,instance of,化合物
KDH,country,阿富汗
589年,follows,588年
一氧化碳中毒,has cause,一氧化碳
李渊,place of death,西安市
大韩民国,diplomatic relation,美国
猴樟,taxon rank,种
奥洛,country,法国
西北欧,part of,欧洲
乍得,instance of,国家
589年,followed by,590年
一氧化碳中毒,afflicts,循环系统
苯丙氨酸,subclass of,必需氨基酸
大韩民国,diplomatic relation,以色列
Maps,instance of,软件
巨核细胞,subclass of,细胞
猴樟,parent taxon,樟属
苯丙氨酸,found in taxon,智人
大韩民国,diplomatic relation,菲律宾
瞿麦,taxon rank,种
光叶山楂,taxon rank,种
依兰属,taxon rank,属
一氧化碳中毒,afflicts,血液
大韩民国,diplomatic relation,沙特阿拉伯
卢布尔雅那,instance of,首都
EPROM,subclass of,PROM
分子结构,subclass of,结构
光叶山楂,parent taxon,山楂
依兰属,parent taxon,番荔枝科
大青杨,taxon rank,种
青霉素G,subclass of,青霉素
乍得,named after,乍得湖
一氧化碳中毒,afflicts,肺
苯丙氨酸,encoded by,UUU
菲利普,occupation,祭司
大韩民国,diplomatic relation,法国
大青杨,parent taxon,杨属
乍得,official language,法语
荷马,sex or gender,男性
大韩民国,diplomatic relation,乌克兰
荷马,given name,Homer
菲利普,position held,主教
大韩民国,diplomatic relation,越南
英寸,part of,英制单位
青霉素G,medical condition treated,淋病
乍得,continent,非洲
一氧化碳中毒,symptoms,昏厥
苯丙氨酸,has part,氮
李渊,spouse,杨氏
大韩民国,diplomatic relation,印度
英寸,measured physical quantity,长度
乍得,country,乍得
一氧化碳中毒,symptoms,心绞痛
苯丙氨酸,has part,碳
菲利普,religion,基督教
大韩民国,diplomatic relation,孟加拉国
大韩民国,diplomatic relation,塞尔维亚
青霉素G,has part,氮
乍得,located in or next to body of water,乍得湖
荷马,occupation,诗人
白消安,has part,氧
青霉素G,has part,氧
一氧化碳中毒,symptoms,幻觉
大韩民国,diplomatic relation,希腊
荷马,genre,史诗
白消安,has part,硫
青霉素G,has part,碳
白消安,has part,碳
大韩民国,diplomatic relation,阿富汗
大韩民国,diplomatic relation,埃及
大韩民国,diplomatic relation,伊朗
卢布尔雅那,sister city,维尔纽斯
李渊,child,唐太宗
大韩民国,diplomatic relation,乌拉圭
卢布尔雅那,sister city,雅典
大韩民国,diplomatic relation,英国
卢布尔雅那,sister city,贝尔格莱德
大韩民国,diplomatic relation,泰国
大韩民国,diplomatic relation,瑞士
乍得,diplomatic relation,德国
大韩民国,diplomatic relation,马来西亚
核裂变,instance of,核反应
杏仁,instance of,stone
玉田县,instance of,县
大韩民国,diplomatic relation,保加利亚
沙囊,country of origin,美国
熊科,taxon rank,科
杏仁,part of,杏
玉田县,country,中华人民共和国
卢布尔雅那,sister city,成都市
乍得,diplomatic relation,利比亚
大韩民国,diplomatic relation,哥伦比亚
中牟,author,王安石
村镇,subclass of,村
zero,instance of,整数
波罗的海,instance of,海
马兜铃酸,subclass of,化合物
沙囊,original language of work,英语
大韩民国,diplomatic relation,丹麦
村镇,part of,农村
zero,instance of,偶数
基数,subclass of,数
波罗的海,tributary,涅瓦河
马兜铃酸,different from,马兜铃酸
拉克,country,法国
玉田县,located in the administrative territorial entity,唐山市
大韩民国,diplomatic relation,格林纳达
卢布尔雅那,sister city,格拉茨
乍得,diplomatic relation,法国
大韩民国,diplomatic relation,冰岛
卢布尔雅那,sister city,莫斯科
大韩民国,diplomatic relation,匈牙利
卢布尔雅那,sister city,诺丁汉
乍得,diplomatic relation,美国
大韩民国,diplomatic relation,墨西哥
村镇,said to be the same as,村
乍得,diplomatic relation,中华人民共和国
大韩民国,diplomatic relation,奥地利
波罗的海,tributary,维斯瓦河
乍得,member of,联合国
大韩民国,diplomatic relation,哈萨克斯坦
波罗的海,basin country,瑞典
大韩民国,diplomatic relation,巴拉圭
波罗的海,basin country,芬兰
大韩民国,diplomatic relation,索马里
波罗的海,basin country,俄罗斯
大韩民国,diplomatic relation,巴西
波罗的海,basin country,爱沙尼亚
大韩民国,diplomatic relation,印度尼西亚
大韩民国,diplomatic relation,文莱
波罗的海,basin country,立陶宛
卢布尔雅那,sister city,第比利斯
大韩民国,diplomatic relation,肯尼亚
波罗的海,basin country,波兰
大韩民国,diplomatic relation,新加坡
Field,instance of,姓氏
同工同酬,instance of,事件
Pocket,instance of,出版社
地球化学,instance of,科学分支
波罗的海,basin country,德国
大韩民国,diplomatic relation,格鲁吉亚
Field,different from,场
同工同酬,instance of,日
建德县,country,中华人民共和国
Pocket,country,法国
Slack,sex or gender,男性
波罗的海,basin country,丹麦
大韩民国,member of,联合国
卵巢炎,instance of,疾病
磁阻,part of,磁路
1928年,instance of,年
食用油,subclass of,油
获鹿县,instance of,县
建德县,located in the administrative territorial entity,杭州市
Slack,country of citizenship,芬兰
地球化学,subclass of,地球科学
波罗的海,continent,欧洲
远志科,taxon rank,科
卵巢炎,subclass of,卵巢疾病
1928年,instance of,闰年
食用油,subclass of,食物
获鹿县,country,中华人民共和国
茅,instance of,五言律诗
地穴,subclass of,地下室
食用油,use,烹饪
波罗的海,material used,汽水
卢布尔雅那,sister city,阿斯特拉罕
茅,instance of,诗
随机数,subclass of,数
坊,country,越南
JW,sex or gender,女性
KP,instance of,企业
豹形海豹,taxon rank,种
克里克,sex or gender,男性
1928年,follows,1927年
Canada,instance of,国家
Slack,place of birth,赫尔辛基
茅,genre,唐诗
随机数,field of work,概率论
克里克,country of citizenship,英国
1928年,followed by,1929年
Canada,part of,北美洲
食用油,different from,油
茅,country of origin,唐朝
克里克,given name,弗朗西斯
远志科,parent taxon,豆目
茅,language of work or name,文言文
远志科,has fruit type,蒴果
Canada,official language,英语
KP,country,美国
Canada,official language,法语
克里克,languages spoken written or signed,英语
Canada,continent,北美洲
克里克,occupation,生物学家
Canada,country,加拿大
克里克,occupation,物理学家
Canada,located in or next to body of water,大西洋
Canada,located in or next to body of water,太平洋
Canada,located in or next to body of water,北冰洋
克里克,occupation,医生
Canada,located in or next to body of water,五大湖
李渊,occupation,皇帝
Canada,deepest point,北冰洋
克里克,field of work,分子生物学
克里克,employer,剑桥大学
李渊,time period,唐朝
Canada,basic form of government,联邦制
大韩民国,public holiday,新年
克里克,member of,法国科学院
Canada,office held by head of state,君主
乍得,shares border with,喀麦隆
乍得,shares border with,利比亚
乍得,shares border with,尼日尔
大韩民国,public holiday,圣诞节
大韩民国,contains administrative territorial entity,大邱
克里克,nominated for,诺贝尔化学奖
克里克,nominated for,诺贝尔化学奖
大韩民国,contains administrative territorial entity,京畿道
克里克,educated at,剑桥大学
大韩民国,contains administrative territorial entity,江原道
Canada,diplomatic relation,美国
大韩民国,contains administrative territorial entity,忠清北道
Canada,diplomatic relation,以色列
Canada,diplomatic relation,瑞典
Canada,diplomatic relation,哥伦比亚
Canada,diplomatic relation,乌克兰
大韩民国,contains administrative territorial entity,庆尚北道
大韩民国,contains administrative territorial entity,庆尚南道
Canada,diplomatic relation,德国
Canada,diplomatic relation,丹麦
Canada,diplomatic relation,菲律宾
Canada,diplomatic relation,香港
Canada,diplomatic relation,大韩民国
Canada,diplomatic relation,卡塔尔
大韩民国,shares border with,朝鲜民主主义人民共和国
Canada,diplomatic relation,印度尼西亚
大韩民国,shares border with,中华人民共和国
胺菊酯,instance of,化合物
虹膜炎,instance of,疾病
酯酶,subclass of,水解酶
Canada,diplomatic relation,乌拉圭
大韩民国,shares border with,日本
梅里达,country,墨西哥
Christ,instance of,神
Canada,diplomatic relation,俄罗斯
陀螺,subclass of,玩具
胂,instance of,化合物
比亚,instance of,女神
白藜,taxon rank,种
size,instance of,概念
基金会,subclass of,非政府组织
白藜,parent taxon,藜属
Canada,diplomatic relation,巴拿马
size,said to be the same as,量值
比亚,sex or gender,女性
梅里达,sister city,新奥尔良
Canada,diplomatic relation,波兰
动物王国,country of origin,澳大利亚
Canada,diplomatic relation,巴基斯坦
动物王国,original language of work,英语
Canada,diplomatic relation,挪威
胂,has part,砷
比亚,domain of saint or deity,暴力
Christ,sex or gender,男性
Canada,diplomatic relation,朝鲜民主主义人民共和国
Canada,diplomatic relation,新西兰
Canada,diplomatic relation,荷兰王国
梅里达,sister city,巴拿马城
Canada,diplomatic relation,沙特阿拉伯
Canada,diplomatic relation,新加坡
梅里达,sister city,伊利
Canada,diplomatic relation,英国
Canada,diplomatic relation,阿拉伯联合酋长国
Canada,diplomatic relation,土耳其
Canada,diplomatic relation,瑞士
Christ,manner of death,死刑
Canada,diplomatic relation,苏联
Canada,diplomatic relation,莫桑比克
梅里达,sister city,迈阿密
Canada,diplomatic relation,南非
Canada,diplomatic relation,纳米比亚
Canada,diplomatic relation,马来西亚
Canada,diplomatic relation,摩洛哥
Canada,diplomatic relation,芬兰
Canada,diplomatic relation,埃塞俄比亚
Canada,diplomatic relation,埃及
Canada,diplomatic relation,意大利
Canada,diplomatic relation,蒙古国
Canada,diplomatic relation,澳大利亚
Canada,diplomatic relation,巴西
Canada,diplomatic relation,捷克
油炸糕,country of origin,中华人民共和国
341年,instance of,年
硫酯,subclass of,化学物质
氯酸镁,instance of,化合物
金合欢,taxon rank,属
EK,country,爱沙尼亚
小河沿站,country,中华人民共和国
Canada,diplomatic relation,肯尼亚
高氯酸,instance of,化合物
DIC,instance of,化合物
341年,follows,340年
EK,headquarters location,塔林
Canada,diplomatic relation,法国
Asparagus,taxon rank,属
虎林,sex or gender,男性
吴起,sex or gender,男性
兔形目,taxon rank,目
李德葆,family name,李
Christ,occupation,木匠
Canada,diplomatic relation,阿富汗
阴道分泌物,instance of,疾病
桑格,instance of,城市
中土,subclass of,名称
吴起,country of citizenship,卫国
高氯酸,has part,氧
DIC,instance of,杂环化合物
地下水道,country of origin,波兰
Canada,diplomatic relation,阿根廷
京白梨,taxon rank,种
桑格,country,美国
中土,country,中华人民共和国
Asparagus,has fruit type,浆果
吴起,country of citizenship,楚国
高氯酸,has part,氯
Canada,diplomatic relation,奥地利
京白梨,parent taxon,梨
吴起,place of birth,卫国
兔形目,parent taxon,啮齿动物
马里兰大学,country,美国
吴起,place of death,楚国
兔形目,parent taxon,哺乳动物
DIC,medical condition treated,黑色素瘤
动物王国,narrative location,墨尔本
Canada,diplomatic relation,阿尔及利亚
动物王国,narrative location,澳大利亚
Canada,diplomatic relation,比利时
动物王国,filming location,澳大利亚
Canada,diplomatic relation,巴巴多斯
动物王国,color,彩色
Canada,diplomatic relation,保加利亚
Canada,diplomatic relation,文莱
Canada,diplomatic relation,冰岛
DIC,has part,氮
Canada,diplomatic relation,哈萨克斯坦
DIC,has part,碳
Canada,diplomatic relation,古巴
Canada,diplomatic relation,西班牙
陆良县,instance of,县
闻喜县,instance of,县
楚雄彝族自治州,instance of,自治州
Canada,diplomatic relation,立陶宛
常隆庆,sex or gender,男性
工商银行,instance of,企业
陆良县,country,中华人民共和国
闻喜县,country,中华人民共和国
楚雄彝族自治州,country,中华人民共和国
地下水道,color,黑白
Wise,instance of,姓氏
白化症,subclass of,疾病
硼化物,subclass of,化学物质
cvs,instance of,三角函数
Isabel,language of work or name,西班牙语
常隆庆,educated at,北京大学
楚雄彝族自治州,located in the administrative territorial entity,云南省
Canada,diplomatic relation,牙买加
Narcissus,taxon rank,属
Wise,different from,Wise
高斌,sex or gender,男性
常隆庆,member of political party,九三学社
工商银行,country,中华人民共和国
Canada,diplomatic relation,格林纳达
高斌,country of citizenship,清朝
工商银行,legal form,股份有限公司
楚雄彝族自治州,contains administrative territorial entity,双柏县
Canada,diplomatic relation,海地
Isabel,writing system,拉丁文字
工商银行,location of formation,北京市
Canada,diplomatic relation,黎巴嫩
Isabel,family name identical to this given name,Isabel
工商银行,owned by,中华人民共和国财政部
楚雄彝族自治州,contains administrative territorial entity,南华县
Isabel,different from,Isabel
Isabel,said to be the same as,Isabella
Canada,diplomatic relation,墨西哥
Canada,diplomatic relation,日本
高斌,position held,南河总督
Canada,diplomatic relation,伊朗
高斌,position held,军机大臣
工商银行,headquarters location,北京市
Canada,diplomatic relation,印度
Canada,diplomatic relation,希腊
Canada,diplomatic relation,中华人民共和国
Isabel,said to be the same as,伊丽莎白
Canada,diplomatic relation,阿塞拜疆
Canada,diplomatic relation,孟加拉国
Canada,diplomatic relation,葡萄牙
S3,instance of,基因
矾,subclass of,化学物质
Canada,diplomatic relation,格鲁吉亚
水曲柳,taxon rank,种
茉莉,taxon rank,属
网师园,part of,苏州园林
仙茅科,taxon rank,科
Canada,member of,联合国
子宫内膜炎,instance of,疾病
是,instance of,姓氏
水曲柳,parent taxon,梣树
茉莉,parent taxon,木樨科
网师园,country,中华人民共和国
S3,found in taxon,智人
蕃石榴,taxon rank,种
禹长春,sex or gender,男性
毕节地区,country,中华人民共和国
水曲柳,has fruit type,翅果
网师园,located in the administrative territorial entity,苏州市
矾,different from,明矾
Canada,member of,英联邦
禹长春,occupation,生物学家
毕节地区,located in the administrative territorial entity,贵州省
茉莉,has fruit type,浆果
仙茅科,has fruit type,蒴果
仙茅科,has fruit type,浆果
禹长春,educated at,东京大学
毕节地区,contains administrative territorial entity,赫章县
布雷达,instance of,城市
番茉莉,taxon rank,种
高山松,taxon rank,种
桫椤科,taxon rank,科
安息香,instance of,化合物
永康,instance of,年号
Kaiser,instance of,职位
宫城县,country,日本
爵床,taxon rank,种
天王星,instance of,外行星
密蒙花,taxon rank,种
Regional,instance of,航空公司
爵床,parent taxon,珊瑚花属
天王星,part of,太阳系
宫城县,located in the administrative territorial entity,日本
Regional,country,法国
N,part of,拉丁文字
斯图加特大学,country,德国
布雷达,sister city,弗罗茨瓦夫
NH,official language,英语
斯图加特大学,located in the administrative territorial entity,斯图加特
玻利尼西亚,located on terrain feature,太平洋
天王星,follows,土星
N,part of,英文字母
天王星,followed by,海王星
NH,country,美国
宫城县,sister city,吉林省
宫城县,sister city,特拉华州
Christ,ethnic group,犹太人
NH,located in the administrative territorial entity,美国
斯图加特大学,headquarters location,斯图加特
宫城县,shares border with,福岛县
Isabel,said to be the same as,Liza
Christ,feast day,圣诞节
NH,deepest point,大西洋
宫城县,shares border with,秋田县
N,follows,M
宫城县,shares border with,岩手县
Christ,worshipped by,基督教
N,followed by,O
Christ,blood type,AB
Canada,public holiday,元旦
Christ,had as last meal,葡萄酒
斯托克斯公式,instance of,定理
目的,instance of,概念
道孚县,instance of,县
Jacobs,instance of,姓氏
道孚县,country,中华人民共和国
Jacobs,language of work or name,英语
Analysis,instance of,科学期刊
湘西土家族苗族自治州,instance of,自治州
印地安人,instance of,族群
丙,instance of,天干
道孚县,located in the administrative territorial entity,甘孜藏族自治州
Jacobs,writing system,拉丁文字
Canada,public holiday,圣诞节
湘西土家族苗族自治州,country,中华人民共和国
克雷洛夫,sex or gender,男性
卡拉布里亚,country,意大利
丙,follows,乙
Jacobs,different from,Jacobs
抗氧化剂,subclass of,食品添加剂
Ecology,instance of,科学期刊
朔县,country,中华人民共和国
141年,instance of,年
Analysis,language of work or name,英语
湘西土家族苗族自治州,located in the administrative territorial entity,湖南省
圣约翰大学,country,美国
丙,followed by,丁
Jacobs,said to be the same as,Jacob
NH,shares border with,佛蒙特州
木贼麻黄,taxon rank,种
Ecology,field of work,生态学
永乐大典,genre,百科全书
石元春,sex or gender,男性
鳗鲡,taxon rank,种
克雷洛夫,given name,伊凡
卡拉布里亚,located in the administrative territorial entity,意大利
NH,shares border with,魁北克
Ecology,country,美国
石元春,country of citizenship,中华人民共和国
鳗鲡,parent taxon,Anguilla
141年,follows,140年
克雷洛夫,place of birth,莫斯科
NH,shares border with,缅因州
克雷洛夫,place of death,圣彼得堡
Ecology,country of origin,美国
湘西土家族苗族自治州,contains administrative territorial entity,保靖县
克雷洛夫,native language,俄语
Jacobs,said to be the same as,James
NH,shares border with,魁北克省
Ecology,language of work or name,英语
湘西土家族苗族自治州,contains administrative territorial entity,古丈县
克雷洛夫,languages spoken written or signed,俄语
道孚县,contains administrative territorial entity,红顶乡
湘西土家族苗族自治州,contains administrative territorial entity,龙山县
克雷洛夫,occupation,诗人
圣约翰大学,headquarters location,纽约
Canada,language used,英语
Canada,language used,英语
Canada,language used,法语
道孚县,contains administrative territorial entity,维它乡
Canada,ethnic group,加拿大人
天王星,parent astronomical body,太阳
克雷洛夫,genre,诗歌
克雷洛夫,genre,散文
Canada,contains administrative territorial entity,安大略
LD,instance of,基因
天人,instance of,图书
亚特兰大,instance of,城市
药剂学,instance of,科学分支
国家公园,subclass of,保护区
Canada,contains administrative territorial entity,魁北克
柳叶桉,taxon rank,种
惠特尼,country,英国
玉露茶,country of origin,日本
国家公园,subclass of,公园
Canada,contains administrative territorial entity,新斯科舍
沮水,country,中华人民共和国
易洛魁人,instance of,族群
柳叶桉,parent taxon,桉树
LD,found in taxon,智人
亚特兰大,instance of,县城
李贤,family name,李
猎豹,taxon rank,种
天人,language of work or name,汉语
亚特兰大,instance of,大城市
Canada,contains administrative territorial entity,曼尼托巴
蛇眼,country of origin,美国
LD,genetic association,膀胱癌
蛇眼,original language of work,英语
亚特兰大,country,美国
Canada,contains administrative territorial entity,艾伯塔
Canada,contains administrative territorial entity,西北地区
亚特兰大,office held by head of government,市长
程序员,instance of,专业
18世纪,instance of,世纪
XAD,instance of,软件
鼠尾草,taxon rank,种
汉方,country of origin,日本
亚特兰大,sister city,萨尔茨堡
日本书纪,instance of,图书
博士生导师,instance of,称谓
HDL,subclass of,计算机语言
木本猪毛菜,taxon rank,种
藁城县,country,中华人民共和国
矮生嵩草,taxon rank,种
赤鼻棱鳀,taxon rank,种
兵部侍郎,instance of,职位
硫化钡,instance of,化合物
短波,subclass of,无线电频谱
庐江郡,instance of,郡
大麻子,taxon rank,种
Non,sex or gender,女性
硫化钡,has part,钡
极北蝰,taxon rank,种
硫化钡,has part,硫
日本书纪,place of publication,日本
亚特兰大,sister city,里约热内卢
Canada,shares border with,美国
刘勇,sex or gender,男性
紫葳科,taxon rank,科
大麻子,has fruit type,蒴果
日本书纪,country of origin,日本
番茄汁,subclass of,饮料
科,part of,亚目
刘勇,country of citizenship,中华人民共和国
球拍,sport,网球
Non,given name,Non
日本书纪,language of work or name,文言文
Canada,shares border with,格陵兰
科,part of,目
刘勇,family name,刘
番茄汁,has part,番茄
科,part of,order
刘勇,place of birth,江苏省
番茄汁,different from,番茄糊
科,part of,group
刘勇,native language,汉语
